Timestamp,Task ID,Machine ID,Operator ID,Task Type,Site Type,Weather,Terrain,Shift,Ambient Temperature (C),Operator Skill,Machine Age (yrs),Engine Hours,Fuel Used (L),Load Cycles,Idling Time (min),Proximity Distance (m),Seatbelt Status,Safety Alert Triggered,Estimated Time (min),Actual Time (min),anomaly_flag
2025-05-01 18:49:00,T0001,EXC103,OP1007,Trenching,Mining,Windy,Flat,Day,16.9,Expert,3,1529.1,4.6,11,10,48.7,Unfastened,Yes,45,47.9,Normal
2025-05-26 02:13:00,T0002,EXC103,OP1002,Grading,Mining,Windy,Incline,Night,29.2,Expert,3,1568.0,4.2,9,1,34.4,Unfastened,Yes,35,46.9,Normal
2025-05-17 13:23:00,T0003,EXC103,OP1006,Demolition,Underground Hard-Rock Mining,Windy,Incline,Night,26.1,Beginner,3,1531.2,2.7,6,4,2.1,Fastened,Yes,90,153.4,Normal
2025-05-26 23:45:00,T0004,EXC103,OP1005,Grading,Construction,Sunny,Flat,Day,36.0,Beginner,3,1527.1,2.5,5,17,15.2,Fastened,No,35,51.8,Normal
2025-05-29 13:34:00,T0005,EXC100,OP1000,Grading,Underground Hard-Rock Mining,Windy,Incline,Day,26.7,Intermediate,4,1560.6,5.4,10,8,43.2,Fastened,No,35,46.8,Normal
2025-05-17 15:19:00,T0006,EXC105,OP1006,Demolition,Construction,Cloudy,Incline,Day,35.5,Beginner,5,1538.3,8.0,14,37,2.5,Fastened,Yes,90,163.1,Unusual
2025-05-01 09:26:00,T0007,EXC101,OP1006,Trenching,Mining,Windy,Incline,Day,22.9,Beginner,8,1550.9,7.3,14,3,27.2,Fastened,No,45,87.6,Normal
2025-05-16 17:39:00,T0008,EXC101,OP1001,Demolition,Mining,Rainy,Flat,Night,34.1,Expert,8,1580.4,4.7,12,10,18.1,Unfastened,Yes,90,111.0,Normal
2025-05-17 18:16:00,T0009,EXC100,OP1000,Material Loading,Mining,Rainy,Flat,Night,30.0,Intermediate,4,1541.7,2.7,5,23,12.6,Fastened,No,30,44.3,Normal
2025-05-03 13:04:00,T0010,EXC100,OP1003,Earth Excavation,Construction,Rainy,Incline,Day,27.2,Intermediate,4,1530.1,5.3,1,120,31.9,Fastened,Yes,60,130.0,Unusual
